"(Threshold, K)",AUC_Score,F1_Score,Recall
"(1e-20, 0.1)",0.5833333333333335,0.4444444444444444,0.3333333333333333
"(1e-20, 0.2142857142857143)",0.5833333333333333,0.5454545454545454,0.5
"(1e-20, 0.3285714285714286)",0.5833333333333333,0.5454545454545454,0.5
"(1e-20, 0.44285714285714284)",0.5833333333333333,0.5454545454545454,0.5
"(1e-20, 0.5571428571428572)",0.5833333333333333,0.5454545454545454,0.5
"(1e-20, 0.6714285714285715)",0.5833333333333333,0.5454545454545454,0.5
"(1e-20, 0.7857142857142857)",0.5833333333333333,0.5454545454545454,0.5
"(1e-20, 0.9)",0.5833333333333333,0.5454545454545454,0.5
"(1e-19, 0.1)",0.5833333333333333,0.5454545454545454,0.5
"(1e-19, 0.2142857142857143)",0.5833333333333333,0.5454545454545454,0.5
"(1e-19, 0.3285714285714286)",0.5833333333333333,0.5454545454545454,0.5
"(1e-19, 0.44285714285714284)",0.5833333333333333,0.5454545454545454,0.5
"(1e-19, 0.5571428571428572)",0.5833333333333333,0.5454545454545454,0.5
"(1e-19, 0.6714285714285715)",0.5833333333333333,0.5454545454545454,0.5
"(1e-19, 0.7857142857142857)",0.5833333333333333,0.5454545454545454,0.5
"(1e-19, 0.9)",0.5833333333333333,0.5454545454545454,0.5
"(1e-18, 0.1)",0.5833333333333333,0.5454545454545454,0.5
"(1e-18, 0.2142857142857143)",0.5833333333333333,0.5454545454545454,0.5
"(1e-18, 0.3285714285714286)",0.5833333333333333,0.5454545454545454,0.5
"(1e-18, 0.44285714285714284)",0.5833333333333333,0.5454545454545454,0.5
"(1e-18, 0.5571428571428572)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-18, 0.6714285714285715)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-18, 0.7857142857142857)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-18, 0.9)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-17, 0.1)",0.5833333333333333,0.5454545454545454,0.5
"(1e-17, 0.2142857142857143)",0.5833333333333333,0.5454545454545454,0.5
"(1e-17, 0.3285714285714286)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-17, 0.44285714285714284)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-17, 0.5571428571428572)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-17, 0.6714285714285715)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-17, 0.7857142857142857)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-17, 0.9)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-16, 0.1)",0.5833333333333333,0.5454545454545454,0.5
"(1e-16, 0.2142857142857143)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-16, 0.3285714285714286)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-16, 0.44285714285714284)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-16, 0.5571428571428572)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-16, 0.6714285714285715)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-16, 0.7857142857142857)",0.75,0.7692307692307692,0.8333333333333334
"(1e-16, 0.9)",0.75,0.7692307692307692,0.8333333333333334
"(1e-15, 0.1)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-15, 0.2142857142857143)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-15, 0.3285714285714286)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-15, 0.44285714285714284)",0.75,0.7692307692307692,0.8333333333333334
"(1e-15, 0.5571428571428572)",0.75,0.7692307692307692,0.8333333333333334
"(1e-15, 0.6714285714285715)",0.75,0.7692307692307692,0.8333333333333334
"(1e-15, 0.7857142857142857)",0.8333333333333333,0.8571428571428571,1.0
"(1e-15, 0.9)",0.8333333333333333,0.8571428571428571,1.0
"(1e-14, 0.1)",0.6666666666666667,0.6666666666666666,0.6666666666666666
"(1e-14, 0.2142857142857143)",0.75,0.7692307692307692,0.8333333333333334
"(1e-14, 0.3285714285714286)",0.8333333333333333,0.8571428571428571,1.0
"(1e-14, 0.44285714285714284)",0.8333333333333333,0.8571428571428571,1.0
"(1e-14, 0.5571428571428572)",0.8333333333333333,0.8571428571428571,1.0
"(1e-14, 0.6714285714285715)",0.75,0.8,1.0
"(1e-14, 0.7857142857142857)",0.75,0.8,1.0
"(1e-14, 0.9)",0.75,0.8,1.0
"(1e-13, 0.1)",0.8333333333333333,0.8571428571428571,1.0
"(1e-13, 0.2142857142857143)",0.8333333333333333,0.8571428571428571,1.0
"(1e-13, 0.3285714285714286)",0.8333333333333333,0.8571428571428571,1.0
"(1e-13, 0.44285714285714284)",0.75,0.8,1.0
"(1e-13, 0.5571428571428572)",0.75,0.8,1.0
"(1e-13, 0.6714285714285715)",0.75,0.8,1.0
"(1e-13, 0.7857142857142857)",0.6666666666666666,0.7499999999999999,1.0
"(1e-13, 0.9)",0.6666666666666666,0.7499999999999999,1.0
